id,MusicAccess,MusicAccessNo,Age,Gender,Ethnicity,Nationality,Sample,MARS1_1,MARS2_1,MARS3_1,MARS4_1,MARS5_1,MARS6_1,MARS7_1,MARS8_1,MARS9_1,MARS10_1,MARS11_1,MARS12_1,MARS13_1,MARS14_1,MARS15_1,POMSDSF1_1,POMSDSF2_1,POMSDSF3_1,POMSDSF4_1,POMSDSF5_1,POMSDSF6_1,POMSDSF7_1,POMSDSF8_1,Sadness_MIP,MIP_timing_3,POMSDSF1_2,POMSDSF2_2,POMSDSF3_2,POMSDSF4_2,POMSDSF5_2,POMSDSF6_2,POMSDSF7_2,POMSDSF8_2,Condition,Cond_Control,Control_timing_3,Cond_Chet,Chet_timing_3,Cond_SelfSelected,Cond_SS_Instructions,Cond_SS_Timer_3,SelfSelected_Song1,SelfSelected_Song2,track_name,artist_name,album_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,POMSDSF1_3,POMSDSF2_3,POMSDSF3_3,POMSDSF4_3,POMSDSF5_3,POMSDSF6_3,POMSDSF7_3,POMSDSF8_3,MusicInfo4_1,RRQ1_1,RRQ2_1,RRQ3_1,RRQ4_1,RRQ5_1,RRQ6_1,RRQ7_1,RRQ8_1,RRQ9_1,RRQ10_1,RRQ11_1,RRQ12_1,RRQ13_1,RRQ14_1,RRQ15_1,RRQ16_1,RRQ17_1,RRQ18_1,RRQ19_1,RRQ20_1,RRQ21_1,RRQ22_1,RRQ23_1,RRQ24_1
11,1, ,18,0,1,Australian,1,6,6,2,2,3,6,5,5,6,2,5,5,2,1,5,0,0,1,1,1,0,1,0,1,310.233,1,1,1,0,1,0,1,0,1,1,307.029, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,1,0, ,2,2,2,4,2,4,2,2,4,4,2,2,3,2,4,4,2,4,2,3,3,2,2,3
12,1, ,19,0,1,Australian,1,6,6,2,2,3,6,5,5,6,1,3,5,3,3,4,0,0,0,0,0,0,0,0,1,310.299,2,3,1,1,1,1,0,0,1,1,297.186, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0, ,4,2,4,4,2,2,4,4,2,2,4,2,1,4,3,4,2,4,3,2,4,2,4,2
13,1, ,19,1,1,Australian,1,7,4,4,2,4,5,6,6,7,4,3,6,3,5,6,0,0,0,2,2,0,1,2,1,310.537,2,1,1,2,2,0,1,1,1,1,296.011, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,0,1,2, ,4,5,5,5,4,2,4,5,2,2,4,2,1,2,5,5,1,5,5,1,4,5,5,2
14,1, ,18,1,3,Australian,1,5,5,4,4,2,4,5,3,4,2,4,4,4,2,4,0,0,0,0,0,0,0,0,1,310.762,1,2,2,1,1,2,2,1,1,1,281.633, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0, ,3,4,3,4,5,1,4,3,3,1,5,4,3,5,3,4,3,4,3,2,3,2,2,3
15,1, ,18,1,1,Australian,1,5,5,4,2,3,5,4,4,4,2,4,3,4,1,1,0,0,0,0,0,0,0,0,1,311.053,1,1,0,0,0,0,0,0,1,1,282.381, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0, ,2,2,2,2,2,3,2,3,4,3,2,2,3,4,2,3,4,2,2,4,2,2,3,4
16,1, ,24,1,5,American,2,4,5,3,2,2,5,5,4,4,3,4,4,3,3,4,0,0,0,0,1,0,0,0,1,311.441,0,1,0,0,1,0,0,0,1,1,299.583, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0, ,2,2,2,4,2,4,4,4,4,4,2,2,4,4,2,2,3,4,2,3,3,3,2,4
17,1, ,21,1,5,Japanese-Australian,2,5,5,2,2,3,5,4,4,5,2,5,4,3,4,5,1,0,1,0,2,0,1,0,1,312.723,3,4,4,4,3,3,3,2,1,1,319.737, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0, ,4,5,5,5,5,2,5,5,4,2,4,5,2,3,3,2,2,2,3,3,2,4,4,3
18,1, ,19,1,1,Australian,1,5,6,3,4,4,4,6,4,4,2,5,5,1,4,5,0,0,0,0,0,0,0,0,1,312.847,2,3,2,1,1,0,1,0,1,1,293.396, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0, ,4,4,4,4,4,3,5,4,2,2,3,3,3,3,3,3,2,2,2,2,3,3,2,4
19,1, ,23,0,1,Australian,2,5,5,2,4,1,4,5,4,5,2,5,5,3,3,6,1,0,0,1,1,0,1,1,1,314.53,1,0,0,1,1,0,1,0,1,1,306.188, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1, ,4,4,4,4,4,2,4,4,2,4,4,4,2,2,4,4,2,4,3,2,4,3,4,2
20,1, ,25,0,1,Australian,1,2,6,3,2,2,4,4,2,5,2,2,4,3,2,4,0,0,0,0,0,0,0,0,1,314.977,1,1,0,0,0,1,0,0,1,1,292.096, , , , , , , ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0, ,3,5,3,5,4,2,4,5,4,2,4,2,2,4,2,2,2,4,3,2,4,2,2,2
